slice_id,video_path,gif_path,keywords
9hx6vF9iT58_clip013.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/takemytripdotcom/9hx6vF9iT58_clip013.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/takemytripdotcom/9hx6vF9iT58_clip013.gif,highway
BuQ1n9C--3Y_clip005.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/omw/BuQ1n9C--3Y_clip005.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/omw/BuQ1n9C--3Y_clip005.gif,urban
LNBQqJWeK5Y_clip021.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/takemytripdotcom/LNBQqJWeK5Y_clip021.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/takemytripdotcom/LNBQqJWeK5Y_clip021.gif,highway
lT4AML9VU2Q_clip017.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/Pete_Drives_USA/lT4AML9VU2Q_clip017.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/Pete_Drives_USA/lT4AML9VU2Q_clip017.gif,"turning_left, urban"
pPXfRghdw_k_clip008.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/takemytripdotcom/pPXfRghdw_k_clip008.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/takemytripdotcom/pPXfRghdw_k_clip008.gif,urban
rNyZVUFfO-Q_clip003.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/Wheels_Around_The_World/rNyZVUFfO-Q_clip003.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/Wheels_Around_The_World/rNyZVUFfO-Q_clip003.gif,intersection
rew_JqwwxhU_clip014.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/Memery_World_中国记忆/rew_JqwwxhU_clip014.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/Memery_World_中国记忆/rew_JqwwxhU_clip014.gif,motorcyclist
uvRaCzWpFrQ_clip003.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/Driving_Experience/uvRaCzWpFrQ_clip003.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/Driving_Experience/uvRaCzWpFrQ_clip003.gif,"turning_right, freeway"
vfBthYCrzZE_clip013.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/J_Utah/vfBthYCrzZE_clip013.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/J_Utah/vfBthYCrzZE_clip013.gif,urban
zxF5T5aUAPc_clip003.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/takemytripdotcom/zxF5T5aUAPc_clip003.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/takemytripdotcom/zxF5T5aUAPc_clip003.gif,"highway, tunnel"
car2car_1.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2car_1.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2car_1.gif,"urban, lane_merge, car2car"
car2car_2.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2car_2.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2car_2.gif,highway
car2cyclist_1.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2cyclist_1.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2cyclist_1.gif,"car2cyclist, cyclist, urban"
car2cyclist_2.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2cyclist_2.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2cyclist_2.gif,"urban, rain, cyclist"
car2cyclist_3.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2cyclist_3.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2cyclist_3.gif,"urban, cyclist, car2cyclist"
car2motorcylist.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2motorcylist.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2motorcylist.gif,"motorcyclist, lane_merge"
car2ped3.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2ped3.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2ped3.gif,"car2pedestrian, urban, pedestrian"
car2ped_1.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2ped_1.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2ped_1.gif,"urban, car2pedestrian"
car2ped_2.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/user_input/car2ped_2.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/user_input/car2ped_2.gif,"pedestrian, car2pedestrian"
